-70.25	-54.95	Fueguino
-77.37	1.22	Galeras
-78.60	-0.17	Guagua
-69.09	-18.42	Guallatiri
-72.65	-42.83	Chait
-72.97	-45.90	Cerro
-72.58	-42.38	Huequi
-76.03	2.93	Nevado
-68.55	-20.73	Irruputuncu
-68.83	-19.15	Isluga
-67.73	-23.37	Lascar
-73.55	-49.02	Lautaro
-71.73	-38.69	Llaima
-68.53	-24.72	Llullaillaco
-71.58	-38.38	Lonquimay
-69.83	-34.16	Maipo
-90.47	0.33	Marchena
-72.44	-42.79	Minchinm
-72.03	-39.93	Mocho-Choshuenco
-91.17	-0.83	Sierra
-77.96	0.83	Cerro
-68.48	-20.93	Olca-Paruma
-72.49	-41.10	Osorno
-90.75	0.58	Pinta
-70.57	-35.24	Planch
-72.26	-40.97	Puntiagudo-Cord
-76.40	2.32	Purac
-67.85	-22.55	Putana
-71.70	-39.50	Quetrupillan
-73.58	-50.96	Reclus
-77.66	-0.08	Reventador
-78.85	-33.66	Robinson
-75.32	4.89	Nevado
-71.85	-15.78	Sabancaya
-69.90	-33.78	San
-68.40	-21.88	San
-78.34	-2.00	Sangay
-90.77	-0.22	Santiago
-77.63	-0.54	Sumaco
-70.35	-34.81	Tinguiririca
-75.33	4.67	Nevado
-78.44	-1.47	Tungurahua
-69.80	-33.40	Tupungatito
-70.90	-16.35	Ubinas
-73.28	-49.36	Viedma
-71.93	-39.42	Villarrica
-91.35	0.02	Wolf
-70.20	-17.18	Yucamane
-61.64	12.30	Kick
-61.17	14.82	Pel
-61.67	16.05	Soufri
-62.18	16.72	Soufri
-61.18	13.33	Soufriere
-61.31	15.31	Morne
-16.75	65.03	Askja
-17.53	64.63	B
-19.62	63.63	Eyjafj
-17.33	64.42	Gr
-19.70	63.98	Hekla
-8.17	71.08	Jan
-19.05	63.63	Katla
-16.78	65.73	Krafla
-16.72	64.65	Kverkfj
-22.50	63.88	Reykjanes
-17.10	66.30	Tj
-20.28	63.43	Vestmannaeyjar
-28.73	38.60	Fayal
-24.35	14.95	Fogo
-17.83	28.57	La
-13.63	29.03	Lanzarote
-25.88	37.60	Monaco
-12.48	-37.42	Nightingale
-28.08	38.65	San
-25.78	37.87	Sete
-16.64	28.27	Tenerife
-27.32	38.73	Terceira
-12.28	-37.09	Tristan
-34.50	49.00	Unnamed
-38.08	38.75	Unnamed
-26.58	-59.03	Bristol
163.25	-66.78	Buckle
-26.67	-57.08	Candlemas
-60.65	-62.97	Deception
167.17	-77.53	Erebus
-26.45	-57.78	Michael
-26.33	-58.42	Montagu
-57.93	-62.10	Penguin
-28.08	-55.92	Protector
-27.37	-59.45	Thule
-27.57	-56.30	Zavodovski
41.70	13.37	Nabro
-17.53   64.63  Bardarbunga
156.88   51.31  Kambalny
